yyyymm,index,d12,e12,bm,tbl,aaa,baa,lty,ntis,rfree,infl,ltr,corpr,svar,csp,crsp_spvw,crsp_spvwx,date,first_diff,nat_log_index,og_var,log_var,logged_first_diff,forecast,index_return,dp,logret,logindex,dp_lag1,dp_lag2,dp_lag3,dp_lag4,svar_lag1,svar_lag2,svar_lag3,svar_lag4,bm_lag1,bm_lag2,bm_lag3,bm_lag4,logindex_lag1,logindex_lag2,logindex_lag3,logindex_lag4,logret_lag1,logret_lag2,logret_lag3,logret_lag4
192701,13.21,0.6967,1.229,0.4437056454,0.0323,0.0466,0.0561,0.0351,0.0508237847,0.0025,-0.011299435,0.0075,0.0056,0.0004698947,,-0.00291,-0.005579,1927-01-01,-0.27999999999999936,2.6019486702196644,,,0.01644282187554813,0.00615171064359153,-0.02075611564121571,-2.9423744954802977,-0.020974551685430498,2.580974118534234,-2.9730123516104965,-2.9674986002671386,-2.956452299385551,-2.999470595664598,0.0004646178,0.0005385885,0.0021611479,0.0007407694,0.441475827,0.443308847,0.4603343062,0.4387129401,2.6019486702196644,2.5855058483441162,2.563409711275944,2.5952547069568657,0.01644282187554813,0.02209613706817226,-0.031844995680921695,0.022642476749759943
192702,13.84,0.7033,1.218,0.4285008644,0.0329,0.0467,0.0559,0.0347,0.0516676427,0.0026,-0.0057142857,0.0088,0.0069,0.0002873343,,0.045522,0.040566,1927-02-01,0.629999999999999,2.580974118534234,,,-0.020974551685430498,0.005759676102381085,0.04769114307342903,-2.979534685857688,0.04658883165528982,2.6275629501895237,-2.9423744954802977,-2.9730123516104965,-2.9674986002671386,-2.956452299385551,0.0004698947,0.0004646178,0.0005385885,0.0021611479,0.4437056454,0.441475827,0.443308847,0.4603343062,2.580974118534234,2.6019486702196644,2.5855058483441162,2.563409711275944,-0.020974551685430498,0.01644282187554813,0.02209613706817226,-0.031844995680921695
192703,13.93,0.71,1.208,0.4697651174,0.032,0.0462,0.0554,0.0331,0.046356576,0.003,-0.0057471264,0.0253,0.0083,0.0009241928,,0.007324,0.00261,1927-03-01,0.08999999999999986,2.6275629501895237,,,0.04658883165528982,0.0031649325974697435,0.006502890173410325,-2.9765350967384903,0.0064818376021906765,2.6340447877917144,-2.979534685857688,-2.9423744954802977,-2.9730123516104965,-2.9674986002671386,0.0002873343,0.0004698947,0.0004646178,0.0005385885,0.4285008644,0.4437056454,0.441475827,0.443308847,2.6275629501895237,2.580974118534234,2.6019486702196644,2.5855058483441162,0.04658883165528982,-0.020974551685430498,0.01644282187554813,0.02209613706817226
192704,14.17,0.7167,1.197,0.4567541302,0.0339,0.0458,0.0548,0.0333,0.0505140243,0.0025,0.0,-0.0005,0.0055,0.0006025886,,0.013021,0.010907,1927-04-01,0.2400000000000002,2.6340447877917144,6.7320091954023,0.02864591139435295,0.0064818376021906765,0.007850179941393262,0.017229002153625217,-2.984224989684853,0.017082265910874916,2.6511270537025893,-2.9765350967384903,-2.979534685857688,-2.9423744954802977,-2.9730123516104965,0.0009241928,0.0002873343,0.0004698947,0.0004646178,0.4697651174,0.4285008644,0.4437056454,0.441475827,2.6340447877917144,2.6275629501895237,2.580974118534234,2.6019486702196644,0.0064818376021906765,0.04658883165528982,-0.020974551685430498,0.01644282187554813
192705,14.91,0.7233,1.186,0.4347826087,0.0333,0.0457,0.055,0.0327,0.0552753898,0.003,0.0057803468,0.0109,-0.0011,0.0003917338,,0.062353,0.057096,1927-05-01,0.7400000000000002,2.6511270537025893,7.187313678160922,0.030265314001942954,0.017082265910874916,0.005068922134743644,0.05222300635144683,-3.025963333903549,0.05090507507405784,2.702032128776647,-2.984224989684853,-2.9765350967384903,-2.979534685857688,-2.9423744954802977,0.0006025886,0.0009241928,0.0002873343,0.0004698947,0.4567541302,0.4697651174,0.4285008644,0.4437056454,2.6511270537025893,2.6340447877917144,2.6275629501895237,2.580974118534234,0.017082265910874916,0.0064818376021906765,0.04658883165528982,-0.020974551685430498
192706,14.77,0.73,1.175,0.4523852494,0.0307,0.0458,0.0555,0.0334,0.0588219162,0.0026,0.0114942529,-0.0069,0.0043,0.000824577,,-0.02037,-0.025705,1927-06-01,-0.14000000000000057,2.702032128776647,7.888806436781612,0.03222979808438787,0.05090507507405784,0.0058040189597095004,-0.009389671361502372,-3.0073088413829887,-0.009434032233358813,2.6925980965432883,-3.025963333903549,-2.984224989684853,-2.9765350967384903,-2.979534685857688,0.0003917338,0.0006025886,0.0009241928,0.0002873343,0.4347826087,0.4567541302,0.4697651174,0.4285008644,2.702032128776647,2.6511270537025893,2.6340447877917144,2.6275629501895237,0.05090507507405784,0.017082265910874916,0.0064818376021906765,0.04658883165528982
192707,15.73,0.7367,1.164,0.414553473,0.0296,0.046,0.0555,0.0333,0.0597499253,0.003,-0.0170454545,0.005,0.0003,0.0004257798,,0.08445,0.081687,1927-07-01,0.9600000000000009,2.6925980965432883,8.401734367816095,0.0328703684454166,-0.009434032233358813,0.008149493963480164,0.06499661475964791,-3.0611442423635555,0.06297162052689798,2.7555697170701863,-3.0073088413829887,-3.025963333903549,-2.984224989684853,-2.9765350967384903,0.000824577,0.0003917338,0.0006025886,0.0009241928,0.4523852494,0.4347826087,0.4567541302,0.4697651174,2.6925980965432883,2.702032128776647,2.6511270537025893,2.6340447877917144,-0.009434032233358813,0.05090507507405784,0.017082265910874916,0.0064818376021906765
192708,16.43,0.7433,1.153,0.3962274092,0.027,0.0456,0.0548,0.0329,0.0545217717,0.0028,-0.0057803468,0.0076,0.0083,0.0012764139,,0.03332,0.028624,1927-08-01,0.6999999999999993,2.7555697170701863,8.885538505747132,0.03340855618236689,0.06297162052689798,0.0039652209406043975,0.04450095359186257,-3.0957644793000663,0.043539214978990604,2.799108932049177,-3.0611442423635555,-3.0073088413829887,-3.025963333903549,-2.984224989684853,0.0004257798,0.000824577,0.0003917338,0.0006025886,0.414553473,0.4523852494,0.4347826087,0.4567541302,2.7555697170701863,2.6925980965432883,2.702032128776647,2.6511270537025893,0.06297162052689798,-0.009434032233358813,0.05090507507405784,0.017082265910874916
192709,17.14,0.75,1.143,0.380586062,0.0268,0.0454,0.0542,0.033,0.0946129771,0.0021,0.0058139535,0.0018,0.0149,0.0011233495,,0.053016,0.049095,1927-09-01,0.7100000000000009,2.799108932049177,10.326468505747133,0.03593749192967179,0.043539214978990604,0.008986260082017309,0.04321363359707853,-3.1290969856214144,0.04230598112045669,2.8414149131696336,-3.0957644793000663,-3.0611442423635555,-3.0073088413829887,-3.025963333903549,0.0012764139,0.0004257798,0.000824577,0.0003917338,0.3962274092,0.414553473,0.4523852494,0.4347826087,2.799108932049177,2.7555697170701863,2.6925980965432883,2.702032128776647,0.043539214978990604,0.06297162052689798,-0.009434032233358813,0.05090507507405784
192710,16.23,0.7567,1.132,0.4138006933,0.0308,0.0451,0.0538,0.0325,0.0943667354,0.0025,0.0057803468,0.0099,0.0055,0.0015593375,,-0.046804,-0.04896,1927-10-01,-0.9100000000000001,2.8414149131696336,11.61837988505748,0.03829111671716367,0.04230598112045669,0.007638701360450081,-0.053092182030338386,-3.065649786808161,-0.05455353164313381,2.7868613815264998,-3.1290969856214144,-3.0957644793000663,-3.0611442423635555,-3.0073088413829887,0.0011233495,0.0012764139,0.0004257798,0.000824577,0.380586062,0.3962274092,0.414553473,0.4523852494,2.8414149131696336,2.799108932049177,2.7555697170701863,2.6925980965432883,0.04230598112045669,0.043539214978990604,0.06297162052689798,-0.009434032233358813
